5000,-556.4950321201918,104.74442180019902
10000,-553.2484705516355,192.34281554523133
15000,-236.79124859444877,139.67882006205832
20000,-356.93774445029464,170.92086257600076
25000,-681.3923694659376,224.1412342717562
30000,-684.8272691395134,192.49727464296748
35000,-575.1904641939157,250.82120040979999
40000,-980.5632384953915,333.1641442481498
45000,-689.9890889824012,173.0153870858094
50000,-1264.8830640721835,643.5891620800674
55000,-938.0764944162638,596.2140498438469
60000,-2123.8104915091553,2596.610537286007
65000,-798.3186018157678,304.63590034386664
70000,-1041.1269234520782,478.0484797606029
75000,-949.7650076759976,141.3247309154149
80000,-1044.0493340357327,611.3073070775836
85000,-1540.3969900948862,1004.4689887793193
90000,-2481.442123269668,430.700277721098
95000,-2546.27266693103,1381.434841927858
100000,-2515.164138506587,1336.4750054007359
